Participant,gender,block,Efficiency,Partner_cost,PartnerIntention,Gratitude,Guilt,Obligation,Indebtedness,SOB100,Care,Choice,Allocation
6007,2,1,1,10,Altruistic,77.02 ,49.52 ,0.60 ,51.07 ,0,49.88 ,1,15
6007,2,1,1,12,Altruistic,83.45 ,85.24 ,0.71 ,0.24 ,0,95.48 ,0,4
6007,2,1,1,14,Altruistic,92.50 ,86.55 ,0.00 ,94.29 ,0,91.67 ,1,16
6007,2,1,1,16,Altruistic,84.40 ,74.88 ,0.00 ,69.05 ,0,82.02 ,0,6
6007,2,1,1,18,Altruistic,96.31 ,50.60 ,0.00 ,94.29 ,0,99.05 ,0,10
6007,2,1,1,20,Altruistic,100.00 ,100.00 ,0.48 ,100.00 ,0,100.00 ,0,10
6007,2,1,2,4,Altruistic,58.93 ,7.50 ,0.48 ,18.45 ,0,26.07 ,1,4
6007,2,1,2,6,Altruistic,81.07 ,75.60 ,0.00 ,61.55 ,0,39.05 ,0,6
6007,2,1,2,8,Altruistic,58.57 ,75.71 ,0.00 ,75.71 ,0,72.98 ,1,10
6007,2,1,2,10,Altruistic,76.90 ,80.95 ,0.00 ,62.62 ,0,76.19 ,0,10
6007,2,1,2,12,Altruistic,80.71 ,94.29 ,1.31 ,72.02 ,0,83.69 ,1,15
6007,2,1,2,14,Altruistic,81.55 ,80.00 ,0.00 ,72.98 ,0,78.45 ,1,15
6007,2,1,2,16,Altruistic,94.40 ,50.12 ,0.00 ,50.00 ,0,88.21 ,1,20
6007,2,1,2,18,Altruistic,100.00 ,97.86 ,0.00 ,81.90 ,0,100.00 ,1,20
6007,2,1,2,20,Altruistic,100.00 ,50.48 ,49.29 ,100.00 ,0,100.00 ,1,25
6007,2,1,3,4,Altruistic,54.29 ,59.88 ,0.00 ,57.98 ,0,58.57 ,1,0
6007,2,1,3,6,Altruistic,78.21 ,61.19 ,0.00 ,62.02 ,0,38.21 ,1,1
6007,2,1,3,8,Altruistic,77.38 ,88.45 ,0.00 ,69.29 ,0,61.07 ,1,3
6007,2,1,3,10,Altruistic,87.74 ,50.00 ,0.00 ,67.50 ,0,72.50 ,1,7
6007,2,1,3,12,Altruistic,79.88 ,84.40 ,0.00 ,90.24 ,0,94.64 ,1,10
6007,2,1,3,14,Altruistic,89.52 ,91.07 ,0.12 ,71.19 ,0,94.52 ,1,10
6007,2,1,3,16,Altruistic,91.43 ,73.81 ,0.00 ,95.48 ,0,87.02 ,0,16
6007,2,1,3,18,Altruistic,100.00 ,100.00 ,0.00 ,100.00 ,0,97.14 ,1,15
6007,2,1,3,20,Altruistic,100.00 ,64.88 ,0.00 ,100.00 ,0,100.00 ,1,20
6007,2,2,1,4,Altruistic,100.00 ,100.00 ,0.00 ,100.00 ,0,15.12 ,0,1
6007,2,2,1,6,Altruistic,54.64 ,4.76 ,0.00 ,100.00 ,0,25.24 ,0,1
6007,2,2,1,8,Altruistic,100.00 ,100.00 ,0.00 ,100.00 ,0,48.93 ,0,3
6007,2,2,1,10,Altruistic,79.05 ,100.00 ,0.36 ,100.00 ,0,76.07 ,0,1
6007,2,2,1,12,Altruistic,100.00 ,0.00 ,0.00 ,0.00 ,0,75.00 ,1,14
