Subject,Gender,Run,Trial,Partner_cost,PainReduce,Efficiency,Choice,Allocation,Choice_Miss,Allocation_Miss
307,1,1,4,14,11.2,1,0,7,0,0
307,1,1,5,4,3.2,2,0,5,0,0
307,1,1,6,20,16,3,1,4,0,0
307,1,1,7,8,6.4,3,0,10,0,0
307,1,1,8,8,6.4,1,0,5,0,0
307,1,1,9,16,12.8,1,0,7,0,0
307,1,1,10,12,9.6,3,0,13,0,0
307,1,1,11,18,14.4,1,0,7,0,0
307,1,1,12,18,14.4,3,1,2,0,0
307,1,1,13,12,9.6,1,0,5,0,0
307,1,1,14,10,8,2,0,12,0,0
307,1,1,15,18,14.4,2,1,2,0,0
307,1,1,16,4,3.2,1,0,3,0,0
307,1,1,17,6,4.8,2,0,8,0,0
307,1,1,18,6,4.8,1,0,9,0,0
307,1,1,19,10,8,3,0,12,0,0
307,1,1,20,16,12.8,3,1,6,0,0
307,1,1,21,14,11.2,2,0,15,0,0
307,1,1,22,10,8,1,0,5,0,0
307,1,1,23,20,16,1,0,8,0,0
307,1,1,24,8,6.4,2,0,10,0,0
307,1,1,25,4,3.2,3,0,6,0,0
307,1,1,26,20,16,2,0,20,0,0
307,1,1,27,12,9.6,2,0,12,0,0
307,1,2,28,14,11.2,1,0,6,0,0
307,1,2,29,6,4.8,3,0,8,0,0
307,1,2,30,8,6.4,1,0,4,0,0
307,1,2,31,16,12.8,1,0,6,0,0
307,1,2,32,16,12.8,2,1,2,0,0
307,1,2,33,4,3.2,2,0,6,0,0
307,1,2,34,14,11.2,3,0,14,0,0
307,1,2,35,20,16,3,1,5,0,0
307,1,2,36,10,8,2,0,13,0,0
307,1,2,37,8,6.4,3,0,10,0,0
307,1,2,38,18,14.4,2,1,2,0,0
307,1,2,39,12,9.6,3,0,14,0,0
307,1,2,40,6,4.8,2,0,8,0,0
307,1,2,41,18,14.4,3,1,2,0,0
307,1,2,42,14,11.2,2,0,14,0,0
307,1,2,43,18,14.4,1,0,7,0,0
307,1,2,44,10,8,3,0,12,0,0
307,1,2,45,12,9.6,1,0,5,0,0
307,1,2,46,4,3.2,1,0,3,0,0
307,1,2,47,8,6.4,2,0,10,0,0
307,1,2,48,6,4.8,1,0,3,0,0
307,1,2,49,10,8,1,0,5,0,0
307,1,2,50,20,16,2,1,2,0,0
307,1,2,51,16,12.8,3,1,2,0,0
307,1,2,52,12,9.6,2,0,13,0,0
307,1,2,53,20,16,1,0,13,0,0
307,1,2,54,4,3.2,3,1,1,0,0
307,1,3,55,14,11.2,1,0,6,0,0
307,1,3,56,16,12.8,2,1,2,0,0
307,1,3,57,4,3.2,2,0,6,0,0
307,1,3,58,8,6.4,1,0,4,0,0
307,1,3,59,6,4.8,3,0,9,0,0
307,1,3,60,16,12.8,1,0,7,0,0
307,1,3,61,14,11.2,3,1,1,0,0
307,1,3,62,18,14.4,1,0,7,0,0
307,1,3,63,10,8,2,0,12,0,0
307,1,3,64,12,9.6,1,0,5,0,0
307,1,3,65,18,14.4,2,1,2,0,0
307,1,3,66,20,16,3,1,2,0,0
307,1,3,67,8,6.4,3,0,10,0,0
307,1,3,68,6,4.8,2,0,8,0,0
307,1,3,69,14,11.2,2,1,2,0,0
307,1,3,70,4,3.2,1,0,3,0,0
307,1,3,71,6,4.8,1,0,3,0,0
307,1,3,72,12,9.6,3,0,13,0,0
307,1,3,73,10,8,1,0,4,0,0
307,1,3,74,8,6.4,2,0,10,0,0
307,1,3,75,18,14.4,3,1,2,0,0
307,1,3,76,10,8,3,0,11,0,0
307,1,3,77,20,16,1,0,7,0,0
307,1,3,78,16,12.8,3,1,1,0,0
307,1,3,79,4,3.2,3,0,6,0,0
307,1,3,80,20,16,2,1,2,0,0
307,1,3,81,12,9.6,2,0,13,0,0
308,2,1,1,10,8,2,1,10,0,0
308,2,1,2,20,16,1,1,20,0,0
308,2,1,3,18,14.4,2,1,18,0,0
308,2,1,4,6,4.8,1,1,8,0,0
308,2,1,5,8,6.4,2,1,8,0,0
308,2,1,6,4,3.2,1,1,6,0,0
308,2,1,7,20,16,2,1,18,0,0
308,2,1,8,14,11.2,1,0,16,0,0
308,2,1,9,14,11.2,3,1,11,0,0
308,2,1,10,6,4.8,3,1,7,0,0
308,2,1,11,18,14.4,1,0,12,0,0
308,2,1,12,12,9.6,3,0,11,0,0
